country_name;country_code;año;region;subregion;homicides_per_100000_ppl;gini;population_density;unemployment_percent_labor_force;net_national_income;gdp_growth_percent;drugs_use_disorders_deaths;alcohol_use_disorders_deaths;deaths_with_tobacco_as_risk_fact;deaths_with_drugs_as_risk_factor;deaths_with_alcohol_as_risk_fact;labor_force;police_officers_per_100000;public_order_and_safety_exp;general_gov_exp;Country;Latitude;Longitude;CountryName;alcohol_consumption;current_education_expenditure;Educational_attainment;gdp_capita_ppp_2017;school_enrollment_primary;school_enrollment_secondary;school_enrollment_tertiary;location;stringency_index;max_t;mean_t;min_t;precipitation
Afghanistan;AFG;1960;;;;;;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1961;;;;;13.4770556398816;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1962;;;;;13.7513561167073;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1963;;;;;14.0402388727903;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1964;;;;;14.3438878923079;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1965;;;;;14.6652975177468;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1966;;;;;14.9995354399522;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1967;;;;;15.3473927908866;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1968;;;;;15.7119114422826;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1969;;;;;16.0901660457201;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;;;;;;;;;
Afghanistan;AFG;1970;;;;;16.4864710301581;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;31.176589965820300;8.306420326232910;0.768769979476929;;;;;;
Afghanistan;AFG;1971;;;;;16.8895282339052;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;32.007610321044900;9.315270423889160;0.923879981040955;;;;;;
Afghanistan;AFG;1972;;;;;17.3048663814912;;;;;;;;;;;;;Afghanistan;33.00;65.00;Afghanistan;;;;;32.261890411377000;10.302760124206500;0.951129972934723;;;;;;
